期數,議題,策略,策略數量,策略類型分類,主題分類
112-115年,社會安全及性別、族群平等,"1. 推動性別平權，打造性別友善環境，提升女性投入職場與科研發展意願
2. 以科技驅動高齡與兒少照護，開啟醫護智慧新時代，提升全民健康與照護
3. 推廣在地文化資產並平衡城鄉資源，落實文化平權
4. 強化偏鄉交通建設，建構數位與包容社會
5. 強化生技醫藥技術與研發機制，提升國家公衛健康防疫量能
6. 透過科技加強基礎設施之韌性，以增強應變靈活度",6,延續型策略,其他跨域;數位治理與基礎建設;社會公平;科技應用;綠色轉型
112-115年,淨零生活與公正轉型,"1.促進公民參與及倡議低碳生產消費體系，建立推廣低碳生活與消費策略
2.以科技應用和政策調適，加強淨零生活環境建設，讓民眾實踐可負擔的淨零生活
3.建立完善綠色工業技職培訓制度，以培力淨零人才與脆弱族群
4.發展綠色能源相關技術產業，創造綠色就業機會
5.建立分散式智慧電網，鼓勵設置社區公民電廠，促成能源生產多元化
6.形成公民參與的機制，以促進在地永續發展並保障受影響群體",6,延續型策略,人力與學習轉型;其他跨域;數位治理與基礎建設;科技應用;綠色轉型
112-115年,跨域多元人才培育、勞動市場轉型與經濟平權,"1.縮短教育落差，建立鬆綁教育制度與漸進式開放辦學，培養高適應力與自主學習人才
2.導入企業資源共同承擔人才培育責任，強化產學合作及職業訓練，推動彈性安全勞動市場制度，引導人才與產業雙向成長
3.建立全生命週期人才流動觀測機制，健全我國生活與育兒環境，完善攬才留才機制",3,延續型策略,人力與學習轉型;其他跨域;數位治理與基礎建設;綠色轉型
112-115年,新世代關鍵科技自主,"1.鞏固既有優勢，以國際合作接軌創新資源，共創我國次世代半導體發展優勢
2.依未來新應用發展需求，重新定義次世代半導體的產業鏈，協助我國半導體產業持續掌握未來市場商機
3.建立醫療數據應用之原則，釋放我國健康大數據資料價值
4.透過先導計畫建立示範案例，開創以人為本的數位健康新未來
5.選擇具最大效益之關鍵零組件，切入國際量子電腦產業鏈關鍵節點
6.發展量子電腦零組件及周邊關鍵設備，吸引國際重要量子人才來臺
7.鏈結國際大廠為策略夥伴，建立我國量子通訊或量子電腦的系統能力",7,延續型策略,人力與學習轉型;其他跨域;數位治理與基礎建設;科技應用
112-115年,衛星與次世代通訊,"1. 建立立方衛星、微衛星、低軌實驗衛星至低軌星系的完整階段發展，以提升我國於衛星產業核心技術優勢
2. 建立衛星、火箭、次世代通訊之量產與系統優化能力，促使領導廠商提供系統性解決方案並布局國際市場
3. 計畫性長期培育衛星通訊與次世代通訊之產業能量與人才，提升我國太空產業發展能量
4. 建立軍轉民、民轉軍之雙向科技合作機制，以利軍民槓桿彼此研究資源，加速相關技術發展",4,延續型策略,人力與學習轉型;其他跨域;科技應用
112-115年,淨零相關新興能源科技,"1. 整合淨零預算資源，加速開發適合臺灣環境特色的新興能源科技
2. 強化產業參與誘因並擴大民眾溝通，順利推進新興能源科技之在地試驗",2,延續型策略,其他跨域;科技應用;綠色轉型
112-115年,科研成果產業化體系,"1.提供優惠投資條件，吸引國內與國際創投參與我國早期新創募資
2.補助跨國企業與我國新創合作研發經費，鏈結其經驗加速我國新創國際化發展
3.以我國科技發展優先需求為主題式計畫，鼓勵產學研共組團隊以凝聚研發共識",3,延續型策略,其他跨域;科技應用
112-115年,供應鏈韌性布局與經濟安全,"1. 運用科技創新沙盒監理機制，預擬創新科技與產業的對接規劃與投資
2. 善用創新科技營造友善產業環境與風險評估，並透過跨部會協商整合，提供產業更多協助
3. 強化科技研發體系成果與產業韌性的鏈結
4. 建置重點產業保護機制，形成關鍵科技產業的護國群山
5. 推動農業生產工業化及智慧化，提升糧食自給率，建立永續生態環境",5,延續型策略,數位治理與基礎建設;科技應用;綠色轉型
112-115年,新興科技產業發展與轉型,"1. 重新檢視臺灣產業結構，扶植下世代新興產業
2. 擴大國際交流，培育國際下世代新興科技產業人才
3. 加強國內研發能量，開創臺灣特色新興科技產業
4. 加強產研合作，鼓勵提高「原創性發明」比重，厚實我國創新能量
5. 強化周邊新創生態系鏈結，發展包容、共融的科學園區",5,延續型策略,人力與學習轉型;其他跨域;社會公平;科技應用
112-115年,數位經濟,"1. 規劃完善數位管理制度及法規，建立信賴科技及數位資產應用環境
2. 爭取國際頂尖數位經濟企業在臺設立研發中心，強化軟體服務與資安防護能量
3. 建構分散式智慧生活情境即時反應系統，落實智慧巡檢、感測及物聯網科技的融合運用，運用人工智慧發展前兆分析技術，以降低地震、風災等天然災害風險",3,延續型策略,其他跨域;數位治理與基礎建設;科技應用;綠色轉型
